segment,churn_probability,risk_level,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Relationship_Count
Low Engagement Users,0.11805959,Medium Risk,1111,24,0.05,4
Credit Revolvers,0.1351475,Medium Risk,1553,38,0.355,3
Low Engagement Users,0.0666945,Low Risk,1064,13,0.03,3
Credit Revolvers,0.02602677,Low Risk,1243,29,0.615,4
Low Engagement Users,0.045772962,Low Risk,1659,38,0.15,3
Credit Revolvers,0.027921591,Low Risk,1594,47,0.407,4
Low Engagement Users,0.022519091,Low Risk,1268,42,0.044,2
Low Engagement Users,0.013631314,Low Risk,1304,24,0.0,4
Low Engagement Users,0.003199506,Low Risk,1368,30,0.0,6
Low Engagement Users,0.03747652,Low Risk,720,23,0.191,3
Low Engagement Users,0.15192315,Medium Risk,1521,29,0.096,3
Low Engagement Users,0.052913066,Low Risk,1137,30,0.176,4
Credit Revolvers,0.039599586,Low Risk,978,16,0.83,5
Credit Revolvers,0.09270351,Medium Risk,1221,16,0.412,5
Low Engagement Users,0.2194522,High Risk,1565,28,0.086,3
Credit Revolvers,0.051872477,Low Risk,1578,34,0.678,3
Low Engagement Users,0.05224416,Low Risk,1493,32,0.246,2
Low Engagement Users,0.06499818,Low Risk,1178,27,0.067,3
Low Engagement Users,0.06330838,Low Risk,991,26,0.271,5
Low Engagement Users,0.02751634,Low Risk,2560,42,0.114,5
Credit Revolvers,0.22390108,High Risk,1657,29,0.395,6
Credit Revolvers,0.06748107,Medium Risk,1204,19,0.406,4
Low Engagement Users,0.01978683,Low Risk,673,18,0.0,1
Low Engagement Users,0.045795877,Low Risk,1131,18,0.258,6
Low Engagement Users,0.04250621,Low Risk,1576,25,0.169,2
Low Engagement Users,0.026559383,Low Risk,1217,20,0.178,3
Low Engagement Users,0.042648487,Low Risk,530,10,0.0,2
Low Engagement Users,0.013890258,Low Risk,739,16,0.0,3
Credit Revolvers,0.17082635,Medium Risk,1617,31,0.941,6
Low Engagement Users,0.17889258,Medium Risk,1592,34,0.141,3
Low Engagement Users,0.11721061,Medium Risk,1343,30,0.23,4
Low Engagement Users,0.018236754,Low Risk,1303,39,0.118,4
Low Engagement Users,0.008484618,Low Risk,1351,22,0.0,5
Low Engagement Users,0.20794736,High Risk,1910,32,0.119,5
Low Engagement Users,0.019102827,Low Risk,1298,22,0.0,2
Credit Revolvers,0.08188621,Medium Risk,1087,29,0.64,6
Credit Revolvers,0.03957898,Low Risk,1439,26,0.432,4
Low Engagement Users,0.019234875,Low Risk,1238,28,0.0,3
Low Engagement Users,0.022301693,Low Risk,1716,29,0.0,6
Low Engagement Users,0.02453379,Low Risk,1099,27,0.066,6
Low Engagement Users,0.05819124,Low Risk,1058,24,0.0,4
Credit Revolvers,0.061161116,Low Risk,1285,29,0.612,2
Credit Revolvers,0.14528398,Medium Risk,1651,28,0.359,5
Low Engagement Users,0.070108175,Medium Risk,1152,31,0.309,2
Low Engagement Users,0.19998252,High Risk,1767,38,0.101,3
Credit Revolvers,0.023555346,Low Risk,1039,24,0.607,6
Credit Revolvers,0.1902028,High Risk,1130,28,0.512,5
Credit Revolvers,0.021689808,Low Risk,1645,30,0.806,3
Credit Revolvers,0.03381867,Low Risk,1413,29,0.463,4
Credit Revolvers,0.036040597,Low Risk,1218,23,0.77,3
Low Engagement Users,0.045399062,Low Risk,597,17,0.076,6
Low Engagement Users,0.016889289,Low Risk,2184,53,0.0,5
Low Engagement Users,0.18537381,High Risk,1592,37,0.108,4
Low Engagement Users,0.034652002,Low Risk,1388,28,0.133,6
Low Engagement Users,0.010306544,Low Risk,757,20,0.0,2
Low Engagement Users,0.029158833,Low Risk,1504,34,0.037,3
Low Engagement Users,0.025607815,Low Risk,1503,34,0.146,4
Low Engagement Users,0.068868615,Medium Risk,1105,28,0.171,5
Low Engagement Users,0.015463785,Low Risk,2398,47,0.069,2
Credit Revolvers,0.030105071,Low Risk,1661,32,0.837,4
Low Engagement Users,0.142606,Medium Risk,1421,22,0.055,6
Low Engagement Users,0.027502123,Low Risk,999,28,0.294,4
Credit Revolvers,0.01675962,Low Risk,1387,18,0.39,3
Low Engagement Users,0.1428945,Medium Risk,1243,24,0.19,6
Credit Revolvers,0.16977462,Medium Risk,1860,36,0.692,5
Credit Revolvers,0.14868522,Medium Risk,1502,25,0.503,6
Low Engagement Users,0.1377853,Medium Risk,1460,50,0.059,2
Low Engagement Users,0.0094001135,Low Risk,1348,27,0.0,6
Low Engagement Users,0.10615327,Medium Risk,1087,33,0.074,3
Credit Revolvers,0.035254948,Low Risk,1226,33,0.513,5
Low Engagement Users,0.042169277,Low Risk,1230,28,0.174,5
Low Engagement Users,0.009111394,Low Risk,1555,32,0.0,6
Low Engagement Users,0.031423237,Low Risk,1827,24,0.135,5
Low Engagement Users,0.010957732,Low Risk,1376,35,0.0,5
Low Engagement Users,0.06147167,Low Risk,1771,37,0.251,4
Low Engagement Users,0.05447251,Low Risk,1873,52,0.078,3
Credit Revolvers,0.035706673,Low Risk,1679,42,0.463,5
Low Engagement Users,0.035430044,Low Risk,1002,22,0.133,2
Low Engagement Users,0.15980293,Medium Risk,1344,21,0.11,3
Low Engagement Users,0.013964204,Low Risk,1461,42,0.087,3
Credit Revolvers,0.050785046,Low Risk,760,21,0.626,1
Low Engagement Users,0.19871245,High Risk,1428,22,0.214,4
Low Engagement Users,0.05386097,Low Risk,1777,42,0.164,5
Low Engagement Users,0.056952626,Low Risk,1302,27,0.176,4
Low Engagement Users,0.015440637,Low Risk,1483,41,0.133,4
Low Engagement Users,0.038911797,Low Risk,1060,27,0.049,3
Low Engagement Users,0.026028134,Low Risk,1330,32,0.043,4
Low Engagement Users,0.035897672,Low Risk,1229,27,0.15,3
Low Engagement Users,0.0133492,Low Risk,886,27,0.0,2
Low Engagement Users,0.014809251,Low Risk,844,24,0.0,3
Credit Revolvers,0.12769516,Medium Risk,1450,37,0.679,2
Low Engagement Users,0.058795195,Low Risk,2311,48,0.098,2
Credit Revolvers,0.12883727,Medium Risk,1378,26,0.694,4
Low Engagement Users,0.24438629,High Risk,1033,26,0.039,3
Low Engagement Users,0.15815282,Medium Risk,1523,40,0.199,5
Low Engagement Users,0.04565888,Low Risk,1374,37,0.22,4
Low Engagement Users,0.19574723,High Risk,1080,21,0.13,5
Credit Revolvers,0.028494114,Low Risk,1234,24,0.76,3
Low Engagement Users,0.030012483,Low Risk,1600,32,0.202,5
Credit Revolvers,0.06273962,Low Risk,1155,32,0.319,5
Low Engagement Users,0.027051864,Low Risk,1353,33,0.035,6
Low Engagement Users,0.023418674,Low Risk,1546,25,0.165,4
Credit Revolvers,0.08050716,Medium Risk,1590,43,0.863,2
Credit Revolvers,0.1015343,Medium Risk,1448,22,0.665,5
Credit Revolvers,0.024509437,Low Risk,1271,24,0.598,5
Credit Revolvers,0.04375401,Low Risk,1223,20,0.539,6
Credit Revolvers,0.16731586,Medium Risk,1117,29,0.472,5
Low Engagement Users,0.049559366,Low Risk,994,24,0.064,4
Low Engagement Users,0.00829527,Low Risk,1468,26,0.0,4
Low Engagement Users,0.053937025,Low Risk,1658,38,0.16,6
Credit Revolvers,0.020607322,Low Risk,1368,38,0.42,3
Low Engagement Users,0.05744751,Low Risk,1218,18,0.048,4
Credit Revolvers,0.06253472,Low Risk,702,12,0.713,4
Low Engagement Users,0.031848446,Low Risk,1516,21,0.092,2
Credit Revolvers,0.15803629,Medium Risk,1310,26,0.336,5
Low Engagement Users,0.12627333,Medium Risk,1767,50,0.092,6
Credit Revolvers,0.107505105,Medium Risk,933,25,0.666,6
Low Engagement Users,0.2311914,High Risk,1512,27,0.147,4
Credit Revolvers,0.05176632,Low Risk,829,17,0.987,2
Low Engagement Users,0.0076677105,Low Risk,1120,27,0.0,3
Low Engagement Users,0.061025504,Low Risk,1506,33,0.11,5
Low Engagement Users,0.08808937,Medium Risk,1384,36,0.073,4
Credit Revolvers,0.06421173,Low Risk,817,30,0.88,2
Low Engagement Users,0.079819724,Medium Risk,2094,25,0.28,4
Low Engagement Users,0.01608172,Low Risk,815,21,0.0,2
Low Engagement Users,0.01430766,Low Risk,510,24,0.0,1
Credit Revolvers,0.06421173,Low Risk,1377,49,0.65,6
Credit Revolvers,0.0620311,Low Risk,1193,33,0.355,2
Credit Revolvers,0.0249799,Low Risk,1287,36,0.761,6
Low Engagement Users,0.020998988,Low Risk,701,19,0.0,3
Low Engagement Users,0.10224438,Medium Risk,1770,25,0.072,4
Credit Revolvers,0.0115993135,Low Risk,1409,35,0.327,5
Credit Revolvers,0.03797384,Low Risk,1354,28,0.459,4
Low Engagement Users,0.24774207,High Risk,1765,34,0.252,5
Low Engagement Users,0.15579765,Medium Risk,1192,27,0.244,6
Low Engagement Users,0.045261748,Low Risk,687,17,0.291,2
Credit Revolvers,0.043497417,Low Risk,1227,15,0.46,3
Credit Revolvers,0.20014507,High Risk,1737,26,0.489,4
Low Engagement Users,0.098086625,Medium Risk,1348,34,0.043,4
Credit Revolvers,0.04117387,Low Risk,1435,38,0.482,4
Low Engagement Users,0.018746246,Low Risk,1321,28,0.24,2
Low Engagement Users,0.050268028,Low Risk,1479,29,0.197,6
Low Engagement Users,0.16572861,Medium Risk,1283,39,0.048,2
Low Engagement Users,0.012481122,Low Risk,689,23,0.0,1
Low Engagement Users,0.13703251,Medium Risk,965,17,0.048,6
Credit Revolvers,0.037550222,Low Risk,1541,40,0.866,2
Low Engagement Users,0.120573565,Medium Risk,1258,23,0.152,5
Credit Revolvers,0.049235787,Low Risk,1339,20,0.317,5
Low Engagement Users,0.16007711,Medium Risk,1007,22,0.114,2
Credit Revolvers,0.14803693,Medium Risk,1387,33,0.762,6
Low Engagement Users,0.016400732,Low Risk,960,18,0.0,1
Credit Revolvers,0.14661403,Medium Risk,1119,18,0.626,3
Low Engagement Users,0.016178695,Low Risk,1642,41,0.211,6
Low Engagement Users,0.04092892,Low Risk,1382,31,0.0,5
Low Engagement Users,0.015175838,Low Risk,1232,32,0.0,6
Low Engagement Users,0.16080771,Medium Risk,1542,16,0.162,4
Low Engagement Users,0.054639667,Low Risk,1094,32,0.196,4
Credit Revolvers,0.14621034,Medium Risk,1217,30,0.734,2
Low Engagement Users,0.024012778,Low Risk,744,18,0.0,1
Credit Revolvers,0.051183525,Low Risk,1614,33,0.446,4
Low Engagement Users,0.23875916,High Risk,1747,31,0.14,5
Low Engagement Users,0.069948636,Medium Risk,1144,22,0.262,3
Low Engagement Users,0.18442956,High Risk,1575,34,0.042,4
Low Engagement Users,0.15996498,Medium Risk,1463,24,0.094,4
Low Engagement Users,0.052198153,Low Risk,1706,21,0.308,5
Low Engagement Users,0.018949028,Low Risk,909,14,0.0,3
Credit Revolvers,0.02515507,Low Risk,2434,33,0.68,3
Low Engagement Users,0.04676672,Low Risk,1876,41,0.238,2
Low Engagement Users,0.0279112,Low Risk,1000,25,0.0,3
Credit Revolvers,0.056341212,Low Risk,1139,30,0.753,6
Credit Revolvers,0.022097038,Low Risk,799,21,0.877,6
Credit Revolvers,0.060228147,Low Risk,1881,45,0.724,2
Low Engagement Users,0.0666945,Low Risk,1273,27,0.117,2
Credit Revolvers,0.03594861,Low Risk,1328,33,0.638,2
Low Engagement Users,0.13435298,Medium Risk,1579,36,0.102,3
Low Engagement Users,0.02525426,Low Risk,937,28,0.131,5
Low Engagement Users,0.16501422,Medium Risk,1749,37,0.078,6
Low Engagement Users,0.026866166,Low Risk,1424,29,0.255,5
Credit Revolvers,0.08054323,Medium Risk,2011,41,0.716,5
Credit Revolvers,0.050444715,Low Risk,1208,31,0.609,5
Credit Revolvers,0.13039844,Medium Risk,1259,24,0.405,2
Low Engagement Users,0.03780895,Low Risk,1319,26,0.15,2
Low Engagement Users,0.14369719,Medium Risk,949,27,0.154,5
Credit Revolvers,0.19430657,High Risk,1338,30,0.605,5
Low Engagement Users,0.030012483,Low Risk,1554,26,0.275,6
Low Engagement Users,0.040513743,Low Risk,1350,32,0.06,2
Low Engagement Users,0.06861728,Medium Risk,1694,44,0.162,5
Low Engagement Users,0.04989231,Low Risk,1678,40,0.07,3
Low Engagement Users,0.006628818,Low Risk,2069,43,0.0,4
Low Engagement Users,0.049683362,Low Risk,1222,23,0.094,6
Low Engagement Users,0.0118894335,Low Risk,1536,37,0.0,2
Credit Revolvers,0.08592715,Medium Risk,1400,31,0.256,2
Low Engagement Users,0.16731586,Medium Risk,1050,28,0.186,2
Credit Revolvers,0.17369394,Medium Risk,1389,33,0.648,3
Low Engagement Users,0.011822788,Low Risk,1184,29,0.0,5
Credit Revolvers,0.18508503,High Risk,2093,42,0.806,5
Low Engagement Users,0.06467826,Low Risk,678,11,0.167,2
Low Engagement Users,0.19653375,High Risk,1467,29,0.153,2
Credit Revolvers,0.024137532,Low Risk,1219,27,0.412,5
Credit Revolvers,0.08367729,Medium Risk,1730,36,0.79,4
Credit Revolvers,0.018298969,Low Risk,1025,28,0.732,4
Low Engagement Users,0.053212572,Low Risk,1165,33,0.123,5
Low Engagement Users,0.06452928,Low Risk,2133,55,0.221,4
Low Engagement Users,0.0075907605,Low Risk,1122,13,0.0,3
Low Engagement Users,0.06718693,Low Risk,1083,22,0.2,4
Low Engagement Users,0.20495017,High Risk,1234,23,0.063,3
Credit Revolvers,0.18680692,High Risk,1277,23,0.785,3
Credit Revolvers,0.12936139,Medium Risk,1843,35,0.771,4
Low Engagement Users,0.046804756,Low Risk,1747,49,0.224,3
Credit Revolvers,0.15031497,Medium Risk,1166,22,0.795,3
Low Engagement Users,0.04958271,Low Risk,1326,31,0.187,6
Credit Revolvers,0.14734162,Medium Risk,1619,36,0.583,4
Low Engagement Users,0.02112206,Low Risk,1285,16,0.316,5
Credit Revolvers,0.104855254,Medium Risk,1142,28,0.447,4
Credit Revolvers,0.0149981845,Low Risk,1190,46,0.625,4
Credit Revolvers,0.044254545,Low Risk,1052,24,0.514,3
Low Engagement Users,0.051549237,Low Risk,1628,38,0.049,5
Credit Revolvers,0.08477526,Medium Risk,1740,32,0.557,6
Credit Revolvers,0.017956957,Low Risk,1378,29,0.955,4
Credit Revolvers,0.049251866,Low Risk,996,26,0.867,4
Credit Revolvers,0.076617956,Medium Risk,1389,32,0.846,3
Credit Revolvers,0.14965491,Medium Risk,1365,38,0.756,5
Credit Revolvers,0.056779724,Low Risk,1715,43,0.31,5
Low Engagement Users,0.06645272,Low Risk,1582,25,0.2,6
Credit Revolvers,0.04375401,Low Risk,1220,22,0.62,6
Low Engagement Users,0.049957722,Low Risk,715,13,0.373,2
Low Engagement Users,0.19301385,High Risk,2552,49,0.105,3
Low Engagement Users,0.022009956,Low Risk,1106,31,0.0,3
Credit Revolvers,0.14237967,Medium Risk,1731,34,0.935,6
Low Engagement Users,0.026028134,Low Risk,1435,32,0.155,5
Low Engagement Users,0.06262754,Low Risk,1882,38,0.111,5
Credit Revolvers,0.070890665,Medium Risk,2058,34,0.435,5
Credit Revolvers,0.20522171,High Risk,1658,32,0.932,4
Credit Revolvers,0.039435618,Low Risk,1334,32,0.829,3
Credit Revolvers,0.06749809,Medium Risk,1441,29,0.463,5
Low Engagement Users,0.046145383,Low Risk,1371,39,0.0,6
Credit Revolvers,0.046804756,Low Risk,1991,38,0.953,6
Low Engagement Users,0.2194522,High Risk,1278,22,0.07,6
Low Engagement Users,0.14905646,Medium Risk,1734,39,0.188,3
Low Engagement Users,0.13703251,Medium Risk,1330,34,0.135,3
Low Engagement Users,0.009113151,Low Risk,1787,31,0.262,4
Low Engagement Users,0.060535993,Low Risk,1672,32,0.063,6
Low Engagement Users,0.35398975,High Risk,1439,41,0.0,6
Credit Revolvers,0.107701644,Medium Risk,1558,31,0.82,5
Low Engagement Users,0.05697598,Low Risk,1795,47,0.066,6
Credit Revolvers,0.022808034,Low Risk,893,22,0.616,6
Low Engagement Users,0.015128597,Low Risk,1099,27,0.0,6
Low Engagement Users,0.13910696,Medium Risk,1408,23,0.057,3
Credit Revolvers,0.15536673,Medium Risk,1893,15,0.595,6
Credit Revolvers,0.20455314,High Risk,1151,31,0.521,5
Low Engagement Users,0.11349225,Medium Risk,1519,31,0.268,5
Low Engagement Users,0.044497486,Low Risk,1245,25,0.09,5
Low Engagement Users,0.04165017,Low Risk,1102,27,0.035,3
Low Engagement Users,0.024942255,Low Risk,1402,33,0.221,5
Credit Revolvers,0.20014507,High Risk,1060,30,0.405,6
Credit Revolvers,0.1674403,Medium Risk,1459,35,0.885,3
Credit Revolvers,0.04195015,Low Risk,1456,39,0.546,4
Low Engagement Users,0.14389524,Medium Risk,1439,48,0.087,6
Credit Revolvers,0.1674403,Medium Risk,1353,24,0.569,6
Credit Revolvers,0.043622993,Low Risk,1173,32,0.648,5
Low Engagement Users,0.1728728,Medium Risk,1746,28,0.08,5
Low Engagement Users,0.033754427,Low Risk,1279,28,0.047,3
Low Engagement Users,0.0153094735,Low Risk,1307,29,0.183,4
Credit Revolvers,0.1400535,Medium Risk,1473,37,0.639,6
Low Engagement Users,0.0596348,Low Risk,1805,37,0.183,6
Credit Revolvers,0.20014507,High Risk,1421,23,0.329,4
Credit Revolvers,0.16423525,Medium Risk,1272,37,0.678,6
Low Engagement Users,0.042278375,Low Risk,1409,34,0.162,3
Low Engagement Users,0.059723336,Low Risk,647,15,0.274,2
Low Engagement Users,0.033211898,Low Risk,1275,25,0.161,3
Credit Revolvers,0.029958626,Low Risk,1270,27,0.865,6
Credit Revolvers,0.12936139,Medium Risk,1702,37,0.73,3
Low Engagement Users,0.11536778,Medium Risk,1256,26,0.183,6
Credit Revolvers,0.040549003,Low Risk,3178,53,0.512,6
Low Engagement Users,0.03573267,Low Risk,1626,29,0.134,5
Low Engagement Users,0.02249535,Low Risk,1562,33,0.137,6
Credit Revolvers,0.06992212,Medium Risk,1960,57,0.692,5
Low Engagement Users,0.12531796,Medium Risk,1154,38,0.162,3
Low Engagement Users,0.028824765,Low Risk,1629,38,0.03,5
Low Engagement Users,0.09429974,Medium Risk,1226,25,0.067,3
Credit Revolvers,0.13249403,Medium Risk,1743,27,0.587,5
Credit Revolvers,0.050115634,Low Risk,1139,39,0.478,5
Low Engagement Users,0.039121423,Low Risk,1073,21,0.098,6
Low Engagement Users,0.06421173,Low Risk,683,17,0.361,3
Low Engagement Users,0.0050840583,Low Risk,1159,32,0.0,3
Low Engagement Users,0.09623318,Medium Risk,1859,47,0.06,6
Low Engagement Users,0.053212572,Low Risk,1205,28,0.07,6
Credit Revolvers,0.04322323,Low Risk,1409,37,0.312,5
Low Engagement Users,0.012367244,Low Risk,1000,18,0.0,3
Low Engagement Users,0.0075691454,Low Risk,1209,39,0.0,6
Low Engagement Users,0.07749601,Medium Risk,1366,25,0.036,5
Low Engagement Users,0.0056598387,Low Risk,1161,44,0.0,5
Credit Revolvers,0.050115634,Low Risk,1512,38,0.539,4
Credit Revolvers,0.15063442,Medium Risk,1750,35,0.36,4
Low Engagement Users,0.08052033,Medium Risk,1170,24,0.15,6
Credit Revolvers,0.060707677,Low Risk,2218,50,0.395,3
Low Engagement Users,0.076249145,Medium Risk,1198,33,0.077,3
Low Engagement Users,0.030012483,Low Risk,1329,26,0.243,3
Credit Revolvers,0.16055073,Medium Risk,857,36,0.867,3
Credit Revolvers,0.10848993,Medium Risk,1470,30,0.805,3
Low Engagement Users,0.13801754,Medium Risk,1435,25,0.168,3
Low Engagement Users,0.007928777,Low Risk,1093,22,0.0,3
Low Engagement Users,0.017645415,Low Risk,715,20,0.0,6
Low Engagement Users,0.12627333,Medium Risk,1512,42,0.103,5
Low Engagement Users,0.010816403,Low Risk,2399,43,0.0,6
Low Engagement Users,0.08791629,Medium Risk,906,22,0.19,6
Low Engagement Users,0.14638433,Medium Risk,1052,16,0.179,3
Low Engagement Users,0.06523563,Low Risk,975,11,0.145,4
Low Engagement Users,0.05873606,Low Risk,783,20,0.093,5
Low Engagement Users,0.078593954,Medium Risk,990,21,0.064,6
Low Engagement Users,0.0039963303,Low Risk,1097,24,0.0,4
Low Engagement Users,0.018126413,Low Risk,901,35,0.0,2
Low Engagement Users,0.049166556,Low Risk,1327,41,0.087,5
Credit Revolvers,0.007458172,Low Risk,1814,31,0.529,6
